StockCode,Recency,Frequency,Monetary,Recency_Scaled,Frequency_Scaled,Monetary_Scaled,Cluster
10002,497,85,-0.019906059,9.838911626,5.727976397999999,4.9751694539999995,0
10080,631,20,-0.004559292,7.468650242000001,3.95577113,5.08204133,2
10120,507,18,-0.0033358690000000004,9.641151837999999,3.8299622889999996,5.090631152,2
10123C,581,2,0.0063591690000000005,8.288470654,1.50968558,5.158789012,2
10124A,643,7,-0.01073679,7.281554011,2.7426265069999998,5.038827406,2
10124G,769,4,0.005334723,5.504108629,2.151813469,5.1516098139999995,1
10125,494,104,-0.018213682,9.899014466,5.978897852999999,4.986875653999999,0
10133,494,212,-0.010183311,9.899014466,6.86804175,5.042688417,0
10135,494,196,-0.051076641,9.899014466,6.769881515,4.762967286,0
11001,497,103,-0.0715046,9.838911626,5.966868677000001,4.627285166,0
15030,595,11,0.006286857,8.052028527000001,3.252312087,5.158282497,2
15034,497,152,0.003262096,9.838911626,6.452144959,5.137062696,0
15036,496,619,-0.013768571,9.858905582,8.211096882,5.017715485,0
15039,500,150,-0.006941564,9.779169766,6.43560473,5.065345042,0
15044A,496,127,0.298002394,9.858905582,6.227879521,6.952633972999999,0
15044B,512,83,0.120763229,9.543727066,5.698397637,5.917745378999999,0
15044C,499,102,0.41039505299999995,9.799043877999999,5.954723275,7.537994727999999,0
15044D,500,100,0.40523178299999996,9.779169766,5.930074656,7.512142451,0
15056BL,494,401,0.33659357100000004,9.899014466,7.666462742,7.159149942999999,0
15056N,494,608,0.329353212,9.899014466,8.188594357000001,7.12086233,0
15056P,494,190,0.43464086,9.899014466,6.731000912000001,7.658140355,0
15058A,501,121,0.441265976,9.759335284,6.167530045,7.690616764,0
15058B,507,126,0.34222431600000003,9.641151837999999,6.218020338,7.188782688,0
15058C,547,93,0.14261948900000002,8.887231298,5.839786884,6.053883551,0
15060B,497,136,0.433051739,9.838911626,6.3132961739999995,7.650328162999999,0
16008,504,60,-0.0017585139999999999,9.70006804,5.296216792,5.101721452,0
16010,600,3,6.04e-05,7.968928714,1.871313253,5.11453182,2
16011,501,47,-0.001410489,9.759335284,4.994938594,5.104170751,0
16012,501,33,-0.008697985,9.759335284,4.561460547,5.053060343,2
16014,498,58,-0.002440646,9.818957778,5.254311601,5.09692328,0
16015,498,33,0.004367985,9.818957778,4.561460547,5.144828321,2
16016,504,63,8.85e-05,9.70006804,5.356566267,5.114729756,0
16020C,520,24,-0.015225018,9.389805392000001,4.174940192,5.007595901,2
16033,497,5,0.00066407,9.838911626,2.380998833,5.118785453,2
16043,521,3,-0.000600454,9.37073158,1.871313253,5.109874835,2
16045,495,59,0.0007871689999999999,9.878939808,5.275438809,5.1196525369999994,0
16046,507,19,-0.0030542909999999998,9.641151837999999,3.894439976,5.0926096339999996,2
16048,497,65,-0.007458922,9.838911626,5.395247452,5.061724331000001,0
16049,661,7,-0.007524666,7.007347039,2.7426265069999998,5.061264357,2
16052,510,20,0.009512468,9.582582544,3.95577113,5.180841173999999,2
16054,507,30,-0.006406448,9.641151837999999,4.445343652,5.069091993,2
16151A,648,3,-0.009250061,7.204624086,1.871313253,5.049203457,2
16156L,535,22,-0.001581533,9.107468849,4.070126232,5.102966885,2
16156S,494,195,0.0036972840000000003,9.899014466,6.763484355,5.140119638,0
16161G,578,24,-0.001352805,8.339876400000001,4.174940192,5.104576791,2
16161P,501,289,-0.0025454139999999997,9.759335284,7.255949949,5.09618662,0
16161U,498,160,0.00742986,9.818957778,6.516211782999999,5.166284482,0
16162L,585,8,0.004050484,8.220340321,2.8906844130000002,5.142599685,2
16162M,884,4,-0.00011428700000000001,4.1195162089999995,2.151813469,5.113300532,1
16168M,509,43,0.0055919509999999995,9.602067349,4.885561872,5.153413128,2
16169E,873,123,0.000562943,4.243925888,6.187970159,5.118073062,1
16169K,627,8,-0.003475277,7.531805945,2.8906844130000002,5.0896518230000005,2
16169M,546,31,-0.00290947,8.905399321,4.4852530139999995,5.0936274180000005,2
16169P,498,2,0.000136024,9.818957778,1.50968558,5.115064823,2
16202A,605,4,-0.000306684,7.886517392000001,2.151813469,5.11194464,2
16202B,576,4,-0.004166296,8.374295083,2.151813469,5.084799468,2
16202E,509,7,0.020966589,9.602067349,2.7426265069999998,5.260368514,2
16206B,494,3,0.003216057,9.899014466,1.871313253,5.136739223,2
16207A,498,43,0.370399535,9.818957778,4.885561872,7.335216679,2
16207B,540,26,-0.003927456,9.015109877999999,4.271683246,5.086476233,2
16216,504,55,-0.0068352280000000005,9.70006804,5.188712058,5.066089461000001,0
16218,503,62,-0.035708338,9.719784577,5.336769964,4.866792933999999,0
16219,501,102,-0.004351619,9.759335284,5.954723275,5.083498691,0
16225,494,95,-0.046093,9.899014466,5.866251847000001,4.796468662,0
16235,497,174,-0.004453684,9.838911626,6.621025743,5.082782405,0
16236,500,137,-0.00263683,9.779169766,6.322438318,5.0955439039999995,0
16237,497,301,-0.006814601,9.838911626,7.306917983,5.06623387,0
16238,494,127,-0.000313333,9.899014466,6.227879521,5.111897785,0
16244B,623,4,0.0018643470000000001,7.595365201,2.151813469,5.127235355,2
16248B,914,4,-0.036900933,3.7879191789999997,2.151813469,4.858681002,1
16254,617,14,-0.046099022,7.691472129,3.532812302,4.796428078,2
16258A,507,53,-0.007084539,9.641151837999999,5.142996499,5.064344254,0
16259,506,36,0.00039962300000000005,9.660751824,4.667752506999999,5.116922399,2
17001,1156,1,0.0,1.453742045,1.0,5.114106077,1
17003,500,257,-0.043910658,9.779169766,7.1089752310000005,4.811189222,0
17007B,608,2,-0.0041622329999999996,7.837396355,1.50968558,5.084827991,2
17011F,501,11,-0.001947805,9.759335284,3.252312087,5.100389634,2
17012A,494,75,-0.042852611,9.899014466,5.572588796000001,4.818337158,0
17012B,497,89,0.018205779,9.838911626,5.785124389,5.241281787,0
17012C,494,83,0.010909628000000001,9.899014466,5.698397637,5.1905900130000004,0
17012D,500,90,0.019477152,9.779169766,5.799014467,5.250077785,0
17012E,502,7,-0.035527991,9.739540273,2.7426265069999998,4.868020448999999,2
17012F,501,87,0.036950355,9.759335284,5.756875126000001,5.3698671120000006,0
17013D,494,21,-0.019496931999999998,9.899014466,4.014248619,4.977997607,2
17014A,502,11,0.012956888,9.739540273,3.252312087,5.204850677,2
17021,494,52,-0.005112571,9.899014466,5.119499753,5.078160114,0
17028J,644,2,-0.000106297,7.266120355,1.50968558,5.1133568469999995,2
17038,504,37,-0.010197707,9.70006804,4.701275542,5.042587964,2
17084A,644,7,0.000255266,7.266120355,2.7426265069999998,5.115905183,2
17084J,510,10,0.002145071,9.582582544,3.142935365,5.129210177,2
17084N,494,111,0.001183376,9.899014466,6.060025311,5.12244259,0
17084P,508,39,0.001241785,9.621590396,4.76575323,5.12285381,2
17084R,502,30,0.003068782,9.739540273,4.445343652,5.135704354,2
17090A,505,10,0.0030806970000000003,9.680390507,3.142935365,5.135788079,2
17090D,507,13,-0.01964996,9.641151837999999,3.4460855510000004,4.976939647,2
17091A,504,35,0.005171708,9.70006804,4.63331092,5.150466752,2
17091J,497,103,0.030510306,9.838911626,5.966868677000001,5.325953228,0
17096,500,36,-0.001137296,9.779169766,4.667752506999999,5.106093999,2
17107D,501,48,0.332958507,9.759335284,5.020857848,7.13995342,2
17109D,591,7,-0.001397724,8.119011876,2.7426265069999998,5.104260603999999,2
17129F,496,67,-0.007324576,9.858905582,5.4327738,5.062664371,0
17136A,552,21,0.001987861,8.79688563,4.014248619,5.128104314,2
17164B,504,12,0.003142448,9.70006804,3.352928917,5.136222008,2
17165D,503,9,-0.002909321,9.719784577,3.0231267230000003,5.093628468,2
17174,820,2,-4.49e-05,4.866182371,1.50968558,5.113789401,1
17191A,877,2,0.043015897000000004,4.198505765,1.50968558,5.4109785939999995,1
18007,497,29,-0.003146812,9.838911626,4.404125556,5.091959483,2
18094C,500,45,0.011885622,9.779169766,4.941439485,5.197392123,2
18097A,628,6,0.234187187,7.515979387000001,2.574772297,6.5972740089999995,2
18097C,500,75,0.385447363,9.779169766,5.572588796000001,7.412195567,0
18098C,496,59,0.356069684,9.858905582,5.275438809,7.2611208739999995,2
20615,494,99,-0.064261648,9.899014466,5.917566699,4.675094434,0
20616,501,77,-0.047438589,9.759335284,5.605241003,4.787407545,0
20617,494,50,-0.024209254,9.899014466,5.071146126,4.945491436,0
20618,494,97,-0.058691007,9.899014466,5.892171102000001,4.712087,0
20619,494,116,-0.074860957,9.899014466,6.114926583,4.605239998,0
20622,501,60,-0.018997396,9.759335284,5.296216792,4.981452271,0
20652,494,83,-0.050221354,9.899014466,5.698397637,4.768705449,0
20653,503,42,-0.040178019,9.719784577,4.856663144,4.836438495,2
20654,494,53,-0.000631651,9.899014466,5.142996499,5.109655064,0
20655,494,115,0.003509866,9.899014466,6.10413648,5.138803298,0
20657,501,35,-0.021854663,9.759335284,4.63331092,4.961714953,2
20658,496,126,-0.064204492,9.858905582,6.218020338,4.6754730019999995,0
20659,494,66,-0.033365423,9.899014466,5.414150655,4.882756476,0
20661,538,29,0.38922739100000003,9.051950623,4.404125556,7.431401338,2
20662,494,24,-0.048148083,9.899014466,4.174940192,4.782634547,2
20663,505,27,-0.022567745,9.680390507,4.317398804,4.956797761,2
20664,496,17,-0.043767645,9.858905582,3.761997666,4.812154963999999,2
20665,494,173,0.174140569,9.899014466,6.613822058999999,6.24570422,0
20666,505,15,-0.004091087,9.680390507,3.61393976,5.085327423,2
20667,520,18,-0.024859571,9.389805392000001,3.8299622889999996,4.941017221,2
20668,497,184,-0.0009345169999999999,9.838911626,6.69087923,5.10752188,0
20669,497,83,-0.055784579,9.838911626,5.698397637,4.731464857,0
20670,505,12,-0.0041025129999999995,9.680390507,3.352928917,5.085247215,2
20671,508,1,0.080636777,9.621590396,1.0,5.660748131,2
20674,494,247,-0.019301532,9.899014466,7.059283412,4.979348742,0
20675,494,386,-0.012991949,9.899014466,7.61866081,5.023117498,0
20676,494,526,-0.047322097,9.899014466,8.006804199,4.788191533,0
20677,494,388,-0.0018707889999999999,9.899014466,7.625140409,5.100931473999999,0
20678,949,1,0.0,3.414529883,1.0,5.114106077,1
20679,497,335,0.061027961,9.838911626,7.441024144,5.531667646,0
20681,497,52,0.408366516,9.838911626,5.119499753,7.52784923,2
20682,494,258,0.116446811,9.899014466,7.113838058,5.89054557,0
20684,507,47,1.0,9.641151837999999,4.994938594,10.0,2
20685,495,784,0.240564969,9.878939808,8.507713207,6.633605856,0
20686,497,69,0.049208050999999996,9.838911626,5.469212272999999,5.452702355,0
20694,497,15,0.144243874,9.838911626,3.61393976,6.063897314,2
20695,509,4,0.098671593,9.602067349,2.151813469,5.777416064,2
20696,494,27,0.23787273899999997,9.899014466,4.317398804,6.618292059,2
20697,820,9,0.233829153,4.866182371,3.0231267230000003,6.595228857,1
20698,743,9,-0.012826706,5.845782552999999,3.0231267230000003,5.024267427,1
20699,494,44,0.019530321,9.899014466,4.913811135,5.250445393,2
20700,496,57,0.128226954,9.858905582,5.232823226,5.964531625,0
20701,494,22,0.34029790200000004,9.899014466,4.070126232,7.178658622,2
20702,508,57,0.068486747,9.621590396,5.232823226,5.58104614,0
20703,509,4,1.0,9.602067349,2.151813469,10.0,2
20704,495,46,0.17740672100000002,9.878939808,4.968473631,6.265285068,2
20705,495,30,0.185669273,9.878939808,4.445343652,6.31457825,2
20707,503,182,0.000490113,9.719784577,6.677215625,5.117559968999999,0
20711,496,605,0.289415557,9.858905582,8.182386742,6.905847881000001,0
20712,494,968,0.048438899,9.899014466,8.772421669,5.4475330920000005,0
20713,497,705,0.271676337,9.838911626,8.374380958,6.8081995410000005,0
20716,500,101,-0.02030328,9.779169766,5.94245938,4.972424683,0
20717,494,467,-0.05166111,9.899014466,7.85755309,4.759048741,0
20718,494,633,-0.039590797000000004,9.899014466,8.239165911,4.840418979,0
20719,494,903,-0.028080828999999998,9.899014466,8.685138828,4.918896562,0
20723,494,809,-0.003065607,9.899014466,8.547122055,5.092530115,0
20724,494,1085,-0.024753772,9.899014466,8.915713954,4.94174493,0
20725,494,1759,-0.039845552,9.899014466,9.522628355,4.838691847,0
20726,494,1109,-0.021713066,9.899014466,8.943191317,4.962691773,0
20727,494,1374,0.027238487999999998,9.899014466,9.212315533,5.303537864,0
20728,494,1241,-0.036531937,9.899014466,9.084435985,4.861189883,0
20731,576,26,0.027675319,8.374295083,4.271683246,5.306534737,2
20733,494,214,-0.014746202,9.899014466,6.879789867,5.010921176,0
20734,494,37,0.01058831,9.899014466,4.701275542,5.188349175,2
20735,494,134,-0.048513707,9.899014466,6.294809969,4.780176129,0
20748,496,32,0.339799405,9.858905582,4.523934198,7.176036455,2
20749,500,396,0.21192672699999998,9.779169766,7.650729879,6.468976558,0
20750,496,407,0.104475126,9.858905582,7.6850858870000005,5.814552364,0
20751,494,228,-0.010302486999999999,9.899014466,6.959088904,5.041856879,0
20752,495,174,-0.023659824,9.878939808,6.621025743,4.949273761000001,0
20754,494,349,-0.051797197,9.899014466,7.492338996,4.758136665,0
20755,496,58,-0.007466899,9.858905582,5.254311601,5.061668522,0
20756,530,26,1.0,9.200693428,4.271683246,10.0,2
