StockCode,Recency,Frequency,Monetary,Recency_Neglog,Frequency_Neglog,Monetary_Neglog,Recency_Scaled,Frequency_Scaled,Monetary_Scaled
10002,497,85,-0.019906059,6.210600077,4.454347296,-0.019710524,9.838911626,5.727976398,4.975169454
10080,631,20,-0.004559292,6.448889394,3.044522438,-0.00454893,7.468650242,3.95577113,5.08204133
10120,507,18,-0.003335869,6.230481448,2.944438979,-0.003330317,9.641151838,3.829962289,5.090631152
10125,494,104,-0.018213682,6.204557763,4.65396035,-0.0180498,9.899014466,5.978897853,4.986875654
10133,494,212,-0.010183311,6.204557763,5.361292166,-0.01013181,9.899014466,6.86804175,5.042688417
10135,494,196,-0.051076641,6.204557763,5.283203729,-0.049815012,9.899014466,6.769881515,4.762967286
11001,497,103,-0.0715046,6.210600077,4.644390899,-0.069063829,9.838911626,5.966868677,4.627285166
15030,595,11,0.006286857,6.390240667,2.48490665,0.006267177,8.052028527,3.252312087,5.158282497
15034,497,152,0.003262096,6.210600077,5.030437921,0.003256787,9.838911626,6.452144959,5.137062696
15036,496,619,-0.013768571,6.208590026,6.429719478,-0.013674645,9.858905582,8.211096882,5.017715485
15039,500,150,-0.006941564,6.216606101,5.017279837,-0.006917582,9.779169766,6.43560473,5.065345042
16008,504,60,-0.001758514,6.224558429,4.110873864,-0.00175697,9.70006804,5.296216792,5.101721452
16010,600,3,6.04E-05,6.398594935,1.386294361,6.04E-05,7.968928714,1.871313253,5.11453182
16011,501,47,-0.001410489,6.21860012,3.871201011,-0.001409495,9.759335284,4.994938594,5.104170751
16012,501,33,-0.008697985,6.21860012,3.526360525,-0.008660376,9.759335284,4.561460547,5.053060343
16014,498,58,-0.002440646,6.212606096,4.077537444,-0.002437672,9.818957778,5.254311601,5.09692328
16015,498,33,0.004367985,6.212606096,3.526360525,0.004358473,9.818957778,4.561460547,5.144828321
16016,504,63,8.85E-05,6.224558429,4.158883083,8.85E-05,9.70006804,5.356566267,5.114729756
16033,497,5,0.00066407,6.210600077,1.791759469,0.000663849,9.838911626,2.380998833,5.118785453
16043,521,3,-0.000600454,6.257667588,1.386294361,-0.000600274,9.37073158,1.871313253,5.109874835
16045,495,59,0.000787169,6.206575927,4.094344562,0.00078686,9.878939808,5.275438809,5.119652537
16046,507,19,-0.003054291,6.230481448,2.995732274,-0.003049636,9.641151838,3.894439976,5.092609634
16048,497,65,-0.007458922,6.210600077,4.189654742,-0.007431242,9.838911626,5.395247452,5.061724331
16049,661,7,-0.007524666,6.495265556,2.079441542,-0.007496497,7.007347039,2.742626507,5.061264357
16052,510,20,0.009512468,6.23636959,3.044522438,0.009467509,9.582582544,3.95577113,5.180841174
16054,507,30,-0.006406448,6.230481448,3.433987204,-0.006386014,9.641151838,4.445343652,5.069091993
16216,504,55,-0.006835228,6.224558429,4.025351691,-0.006811974,9.70006804,5.188712058,5.066089461
16218,503,62,-0.035708338,6.222576268,4.143134726,-0.035085577,9.719784577,5.336769964,4.866792934
16219,501,102,-0.004351619,6.21860012,4.634728988,-0.004342178,9.759335284,5.954723275,5.083498691
