CustomerID,Recency,Frequency,Profit,R_Log,F_Log,P_Log,R_Norm,F_Norm,P_Norm,Score
12347,25,222,1086.7862,3.2189,5.4027,6.991,6.8559,6.3734,6.8918,6.763
12348,16,43,93.2186,2.7726,3.7612,4.5349,7.6216,4.7408,5.6667,6.8499
12349,405,69,141.5815,6.0039,4.2341,4.9529,2.0776,5.2111,5.8752,3.0841
12352,104,72,269.3138,4.6444,4.2767,5.5959,4.4101,5.2535,6.1959,4.7574
12353,86,8,77.0479,4.4543,2.0794,4.3444,4.7362,3.0682,5.5717,4.4861
12354,73,105,5970.7314,4.2905,4.654,8.6946,5.0174,5.6287,7.7417,5.4121
12355,55,12,108.4909,4.0073,2.4849,4.6867,5.5031,3.4714,5.7424,5.1207
12357,420,126,787.367,6.0403,4.8363,6.6687,2.0153,5.81,6.7311,3.2458
12358,388,17,12.7126,5.961,2.8332,2.5426,2.1512,3.8178,4.6728,2.7367
12359,147,270,36956.2381,4.9904,5.5984,10.5175,3.8164,6.568,8.6509,4.8502
12360,439,123,290.7533,6.0845,4.8122,5.6725,1.9393,5.7861,6.2341,3.1382
12362,82,281,1086.0605,4.4067,5.6384,6.9903,4.8179,6.6078,6.8915,5.3832
12363,87,38,120.1123,4.4659,3.6376,4.7884,4.7163,4.6178,5.7931,4.8043
12364,394,61,30.8162,5.9764,4.1109,3.428,2.1249,5.0886,5.1145,3.0166
12370,15,287,6189.7941,2.7081,5.6595,8.7307,7.7323,6.6288,7.7596,7.5143
12372,68,61,210.2926,4.2195,4.1109,5.3485,5.1391,5.0886,6.0725,5.2223
12375,397,14,32.6017,5.9839,2.6391,3.4844,2.1119,3.6247,5.1426,2.7175
12377,12,73,765.104,2.4849,4.2905,6.64,8.1151,5.2672,6.7168,7.4057
12378,516,215,476.9996,6.2461,5.3706,6.1675,1.6621,6.3415,6.4811,3.0799
12380,408,99,1602.1085,6.0113,4.5951,7.3791,2.065,5.5702,7.0854,3.2681
12381,391,78,252.5322,5.9687,4.3567,5.5315,2.138,5.3331,6.1638,3.1796
12383,10,165,353.2213,2.3026,5.1059,5.8671,8.4279,6.0782,6.3312,7.7483
12384,415,25,37.9646,6.0283,3.2189,3.6367,2.0358,4.2014,5.2186,2.7872
12386,24,16,1139.8525,3.1781,2.7726,7.0387,6.9259,3.7575,6.9156,6.2912
12388,124,119,780.785,4.8203,4.7791,6.6603,4.1083,5.7532,6.7269,4.6992
12393,92,85,381.9752,4.5218,4.4427,5.9454,4.6205,5.4185,6.3702,4.9551
